Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-6-4, 19:55",關閉比對,4730,關整台,4730#603 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:55",關閉比對,4730,關整台,4730#602  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 21:27",自動化設備相關,3450,機台異常,自動化3450機故，請協助修復
ASEF3,"2025-6-4, 21:33",自動化設備相關,4110,機台異常,
ASEF3,"2025-6-5, 00:53",自動化設備相關,4110,機台異常,(M7824)出料7無盤
ASEF3,"2025-6-5, 01:00",過帳相關,2900,無法過帳,
ASEF3,"2025-6-5, 02:15",過帳相關,3910,連線異常,請協助消除5-232KBY-007-004的作業紀錄  謝謝
ASEF3,"2025-6-5, 02:16",過帳相關,3910,連線異常,請協助消除5-232KBY-007-005的作業紀錄  謝謝
ASEF3,"2025-6-5, 05:29",過帳相關,3910,連線異常,請協助消除5-HWQMN3-004-006的作業紀錄  謝謝
ASEF3,"2025-6-5, 05:34",過帳相關,2195,連線異常,
ASEF3,"2025-6-5, 07:09",自動化設備相關,4110,機台異常,(M7824)出料7無盤
ASEF1,"2025-6-5, 07:09",自動化設備相關,2715,默停,2715-A03 流道卡貨且無機故提醒，須人員發現
ASEF1,"2025-6-5, 07:24",自動化設備相關,2500,卡盒卡盤,
ASEF3,"2025-6-5, 07:48",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-5, 07:48",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:48",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:48",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:49",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:49",關閉比對,4730,關整台,4730#803 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:49",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:50",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 07:50",關閉比對,4730,關整台,4730#603 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-5, 08:03",關閉比對,4730,關整台,4730#602  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫。
ASEF1,"2025-6-5, 08:09",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF1,"2025-6-5, 08:12",自動化設備相關,2500,機台異常,B LINE NG
ASEF3,"2025-6-5, 08:51",自動化設備相關,2601,命令異常,ALARM
ASEF1,"2025-6-5, 09:54",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF1,"2025-6-5, 10:11",自動化設備相關,2715,機台異常,2715-A02 NG
ASEF1,"2025-6-5, 10:11",自動化設備相關,2500,機台異常,A LINE NG
ASEF3,"2025-6-5, 10:14",自動化設備相關,3190,默停,alarm
